ranking,sknich,pygreg,Arbysguy,PenguinProphet,BlindManBaldwin,ThaddeusJP,Landsdownestreet,TangerineDiesel,milkchococurry,hurricane,morespikes,staub81,yoda133113,famouslastwords,wannaknowmyname,Sexterminator,preludeoflight,nickmangoldsbeard,sosuhme,analogWeapon,allsecretsknown,SPACE_LAWYER,newBreed,One_Half_Hamster,I_have_no_throwaway,ThatChrisDodge,Naly_D,iltat_work,smacksaw,Skarmotastic,philo13181,whirledworld
1,Chiefs,Chiefs,Chiefs,Chiefs,Chiefs,Chiefs,Chiefs,Chiefs,Chiefs,Chiefs,Chiefs,Chiefs,Chiefs,Chiefs,Chiefs,Chiefs,Chiefs,Chiefs,Chiefs,Chiefs,Chiefs,Chiefs,Chiefs,Chiefs,Chiefs,Chiefs,Chiefs,Chiefs,Chiefs,Chiefs,Chiefs,Chiefs
2,Lions,Lions,Falcons,Broncos,Packers,Lions,Steelers,Lions,Packers,Lions,Broncos,Broncos,Packers,Broncos,Lions,Packers,Lions,Broncos,Falcons,Lions,Falcons,Falcons,Falcons,Packers,Steelers,Falcons,Falcons,Broncos,Steelers,Falcons,Falcons,Steelers
3,Bills,Bills,Packers,Packers,Steelers,Falcons,Broncos,Broncos,Patriots,Bills,Lions,Falcons,Falcons,Packers,Broncos,Lions,Falcons,Lions,Steelers,Packers,Packers,Lions,Lions,Steelers,Packers,Packers,Packers,Falcons,Lions,Lions,Packers,Packers
4,Falcons,Broncos,Broncos,Falcons,Bills,Packers,Falcons,Falcons,Falcons,Rams,Falcons,Lions,Broncos,Lions,Cowboys,Steelers,Packers,Falcons,Packers,Falcons,Lions,Packers,Steelers,Patriots,Falcons,Steelers,Lions,Lions,Falcons,Packers,Broncos,Falcons
5,Packers,Packers,Patriots,Lions,Lions,Broncos,Lions,Steelers,Seahawks,Packers,Patriots,Patriots,Lions,Steelers,Eagles,Broncos,Steelers,Bills,Broncos,Steelers,Eagles,Broncos,Eagles,Falcons,Patriots,Lions,Broncos,Steelers,Broncos,Broncos,Steelers,Rams
6,Broncos,Falcons,Lions,Eagles,Falcons,Steelers,Packers,Packers,Lions,Falcons,Cowboys,Steelers,Patriots,Falcons,Bills,Falcons,Broncos,Packers,Lions,Patriots,Broncos,Steelers,Broncos,Lions,Broncos,Bills,Steelers,Packers,Eagles,Eagles,Lions,Bills
7,Eagles,Eagles,Steelers,Steelers,Panthers,Patriots,Eagles,Rams,Raiders,Eagles,Steelers,Raiders,Eagles,Eagles,Falcons,Bills,Eagles,Eagles,Eagles,Bills,Raiders,Patriots,Patriots,Broncos,Rams,Broncos,Bills,Patriots,Packers,Steelers,Patriots,Jaguars
8,Steelers,Texans,Raiders,Patriots,Patriots,Eagles,Panthers,Panthers,Titans,Panthers,Vikings,Packers,Redskins,Rams,Patriots,Eagles,Cowboys,Steelers,Redskins,Broncos,Seahawks,Eagles,Bills,Eagles,Lions,Eagles,Eagles,Cowboys,Patriots,Patriots,Eagles,Saints
9,Patriots,Rams,Eagles,Bills,Texans,Panthers,Rams,Bills,Steelers,Steelers,Raiders,Seahawks,Bills,Bills,Texans,Panthers,Raiders,Panthers,Texans,Eagles,Patriots,Bills,Packers,Cowboys,Seahawks,Rams,Patriots,Rams,Seahawks,Rams,Panthers,Lions
10,Panthers,Steelers,Panthers,Panthers,Broncos,Bills,Patriots,Raiders,Broncos,Patriots,Seahawks,Bills,Steelers,Seahawks,Panthers,Texans,Bills,Patriots,Rams,Raiders,Cowboys,Panthers,Rams,Raiders,Panthers,Cowboys,Cowboys,Seahawks,Bills,Bills,Cowboys,Texans
11,Rams,Redskins,Cowboys,Seahawks,Rams,Cowboys,Bills,Cowboys,Cowboys,Redskins,Redskins,Eagles,Raiders,Panthers,Packers,Buccaneers,Patriots,Rams,Bills,Cowboys,Panthers,Seahawks,Vikings,Seahawks,Bills,Panthers,Panthers,Eagles,Rams,Panthers,Redskins,Redskins
12,Cowboys,Cowboys,Vikings,Raiders,Eagles,Raiders,Texans,Eagles,Vikings,Broncos,Rams,Redskins,Panthers,Patriots,Steelers,Seahawks,Panthers,Cowboys,Titans,Seahawks,Bills,Cowboys,Redskins,Ravens,Eagles,Patriots,Seahawks,Bills,Panthers,Cowboys,Bills,Panthers
13,Texans,Panthers,Seahawks,Rams,Redskins,Rams,Buccaneers,Patriots,Ravens,Buccaneers,Packers,Panthers,Rams,Texans,Raiders,Redskins,Seahawks,Redskins,Patriots,Panthers,Buccaneers,Raiders,Seahawks,Buccaneers,Saints,Texans,Rams,Panthers,Redskins,Seahawks,Rams,Broncos
14,Redskins,Patriots,Cardinals,Cowboys,Raiders,Seahawks,Seahawks,Redskins,Buccaneers,Texans,Panthers,Rams,Cowboys,Raiders,Seahawks,Patriots,Buccaneers,Raiders,Buccaneers,Redskins,Steelers,Rams,Cowboys,Panthers,Redskins,Redskins,Vikings,Buccaneers,Titans,Texans,Buccaneers,Cowboys
15,Seahawks,Titans,Jaguars,Redskins,Seahawks,Redskins,Raiders,Buccaneers,Eagles,Saints,Eagles,Cowboys,Seahawks,Cowboys,Redskins,Raiders,Rams,Seahawks,Seahawks,Rams,Rams,Redskins,Raiders,Bills,Cowboys,Buccaneers,Texans,Raiders,Raiders,Redskins,Seahawks,Patriots
16,Raiders,Seahawks,Buccaneers,Vikings,Vikings,Vikings,Vikings,Vikings,Saints,Cowboys,Bills,Cardinals,Texans,Buccaneers,Saints,Rams,Texans,Texans,Panthers,Texans,Vikings,Texans,Panthers,Cardinals,Vikings,Vikings,Redskins,Redskins,Cowboys,Raiders,Vikings,Seahawks
17,Buccaneers,Raiders,Rams,Jets,Saints,Texans,Ravens,Titans,Panthers,Seahawks,Texans,Titans,Vikings,Saints,Vikings,Saints,Vikings,Vikings,Cowboys,Vikings,Redskins,Buccaneers,Buccaneers,Rams,Texans,Saints,Saints,Vikings,Buccaneers,Buccaneers,Raiders,Raiders
18,Vikings,Vikings,Titans,Buccaneers,Cowboys,Buccaneers,Redskins,Seahawks,Redskins,Titans,Titans,Buccaneers,Buccaneers,Redskins,Titans,Titans,Redskins,Buccaneers,Vikings,Buccaneers,Texans,Vikings,Texans,Titans,Buccaneers,Jets,Raiders,Texans,Saints,Vikings,Saints,Eagles
19,Titans,Ravens,Redskins,Saints,Buccaneers,Titans,Cowboys,Jaguars,Rams,Raiders,Buccaneers,Texans,Jaguars,Cardinals,Rams,Cowboys,Titans,Titans,Raiders,Titans,Titans,Titans,Ravens,Redskins,Titans,Jaguars,Buccaneers,Titans,Vikings,Saints,Texans,Titans
20,Saints,Buccaneers,Bills,Jaguars,Jaguars,Saints,Titans,Texans,Bills,Vikings,Saints,Saints,Titans,Titans,Buccaneers,Vikings,Cardinals,Saints,Saints,Saints,Bengals,Saints,Saints,Vikings,Jaguars,Seahawks,Bengals,Cardinals,Texans,Titans,Jaguars,Vikings
21,Cardinals,Jaguars,Ravens,Titans,Cardinals,Jaguars,Saints,Cardinals,Jaguars,Jets,Jaguars,Jaguars,Ravens,Jaguars,Bengals,Jaguars,Saints,Jets,Cardinals,Jaguars,Dolphins,Cardinals,Jaguars,Texans,Cardinals,Raiders,Jaguars,Saints,Cardinals,Cardinals,Titans,Buccaneers
22,Ravens,Cardinals,Texans,Texans,Titans,Ravens,Cardinals,Ravens,Texans,Jaguars,Ravens,Ravens,Cardinals,Vikings,Jaguars,Jets,Ravens,Ravens,Dolphins,Cardinals,Ravens,Ravens,Titans,Saints,Ravens,Ravens,Titans,Ravens,Dolphins,Jets,Ravens,Bengals
23,Jaguars,Saints,Saints,Ravens,Jets,Cardinals,Jets,Saints,Cardinals,Ravens,Bengals,Vikings,Saints,Jets,Ravens,Bengals,Giants,Jaguars,Jaguars,Ravens,Saints,Jaguars,Jets,Dolphins,Bengals,Titans,Ravens,Chargers,Bears,Jaguars,Cardinals,Cardinals
24,Jets,Bengals,Dolphins,Cardinals,Ravens,Bengals,Dolphins,Jets,Dolphins,Cardinals,Cardinals,Jets,Bengals,Ravens,Bears,Cardinals,Bears,Cardinals,Jets,Bengals,Cardinals,Bengals,Cardinals,Jets,Raiders,Cardinals,Cardinals,Giants,Jets,Bengals,Dolphins,Ravens
25,Bengals,Chargers,Jets,Bengals,Bengals,Jets,Jaguars,Dolphins,Bengals,Bengals,Chargers,Dolphins,Bears,Dolphins,Cardinals,Ravens,Dolphins,Bengals,Giants,Bears,Jets,Jets,Chargers,Jaguars,Chargers,Bengals,Bears,Jets,Jaguars,Ravens,Colts,Chargers
26,Bears,Jets,Bengals,Bears,Colts,Dolphins,Bears,Bears,Giants,Bears,Jets,49ers,Jets,Bengals,Jets,Dolphins,Chargers,Bears,Bengals,Chargers,Jaguars,Bears,Dolphins,Bears,Jets,Bears,Chargers,Jaguars,Ravens,Bears,Jets,Jets
27,Dolphins,Bears,Giants,Dolphins,Dolphins,Bears,Bengals,Colts,Colts,49ers,Giants,Bengals,Chargers,Chargers,Dolphins,Chargers,Jets,Colts,Ravens,Jets,Bears,Dolphins,Bears,Giants,Bears,Dolphins,Jets,Bengals,Giants,Chargers,Bengals,49ers
28,Chargers,Dolphins,Colts,Giants,Giants,Chargers,Colts,Giants,Chargers,Giants,Dolphins,Bears,Giants,Bears,Chargers,Bears,Jaguars,Dolphins,Chargers,Dolphins,Colts,Chargers,Bengals,Colts,Giants,49ers,Dolphins,Bears,Bengals,Dolphins,Bears,Bears
29,Giants,Giants,Bears,Colts,49ers,Giants,Giants,Bengals,Jets,Chargers,Colts,Colts,Colts,Colts,Giants,Giants,Bengals,Chargers,49ers,Colts,49ers,Giants,Giants,Bengals,Dolphins,Chargers,Giants,Dolphins,Colts,Giants,Giants,Browns
30,Colts,49ers,Chargers,Chargers,Bears,Colts,Chargers,Chargers,Bears,Colts,Bears,Giants,49ers,Giants,49ers,49ers,Colts,Giants,Bears,Giants,Giants,Colts,Colts,Chargers,Colts,Giants,Colts,Colts,Chargers,Colts,Chargers,Dolphins
31,49ers,Browns,49ers,49ers,Chargers,49ers,Browns,49ers,Browns,Dolphins,49ers,Chargers,Dolphins,49ers,Colts,Colts,Browns,49ers,Colts,49ers,Browns,49ers,49ers,49ers,49ers,Colts,49ers,49ers,49ers,49ers,49ers,Giants
32,Browns,Colts,Browns,Browns,Browns,Browns,49ers,Browns,49ers,Browns,Browns,Browns,Browns,Browns,Browns,Browns,49ers,Browns,Browns,Browns,Chargers,Browns,Browns,Browns,Browns,Browns,Browns,Browns,Browns,Browns,Browns,Colts